date,slight,serious,total_vehicle_num,most_collision
2017-01-01T01:00Z,57,9,388732,haringey collision
2017-01-02T01:00Z,59,5,29216,hounslow collision
2017-01-03T01:00Z,67,10,660484,croydon collision
2017-01-04T01:00Z,69,5,282506,bexley collision
2017-01-05T01:00Z,108,8,255664,haringey collision
2017-01-06T01:00Z,73,10,180238,haringey collision
2017-01-07T01:00Z,60,8,68397,hounslow collision
2017-01-08T01:00Z,65,3,108690,hackney collision
2017-01-09T01:00Z,95,14,195538,ealing collision
2017-01-10T01:00Z,86,10,129410,enfield collision
2017-01-11T01:00Z,79,10,88390,lambeth collision
2017-01-12T01:00Z,106,8,105500,hammersmith and fulham collision
2017-01-13T01:00Z,86,13,11412,brent collision
2017-01-14T01:00Z,69,10,672741,havering collision
2017-01-15T01:00Z,42,4,165402,hackney collision
2017-01-16T01:00Z,75,5,170389,haringey collision
2017-01-17T01:00Z,84,8,465984,waltham forest collision
2017-01-18T01:00Z,79,16,63786,southwark collision
2017-01-19T01:00Z,67,5,411344,ealing collision
2017-01-20T01:00Z,108,9,603319,southwark collision
2017-01-21T01:00Z,105,9,781060,greenwich collision
2017-01-22T01:00Z,92,11,33523,redbridge collision
2017-01-23T01:00Z,64,8,24995,lambeth collision
2017-01-24T01:00Z,94,9,311284,croydon collision
2017-01-25T01:00Z,78,7,209216,brent collision
2017-01-26T01:00Z,61,13,147521,hounslow collision
2017-01-27T01:00Z,79,9,198456,lambeth collision
2017-01-28T01:00Z,101,12,199505,wandsworth collision
2017-01-29T01:00Z,70,9,828587,redbridge collision
2017-01-30T01:00Z,55,12,229489,haringey collision
2017-01-31T01:00Z,75,8,237403,bromley collision
2017-02-01T01:00Z,52,7,34154,kensington an chelsea collision
2017-02-02T01:00Z,81,4,391988,brent collision
2017-02-03T01:00Z,92,7,353602,greenwich collision
2017-02-04T01:00Z,76,7,422714,haringey collision
2017-02-05T01:00Z,70,9,25609,hounslow collision
2017-02-06T01:00Z,76,7,63334,redbridge collision
2017-02-07T01:00Z,77,13,326330,bromley collision
2017-02-08T01:00Z,69,9,243069,tower hamlets collision
2017-02-09T01:00Z,66,9,869364,lambeth collision
2017-02-10T01:00Z,99,8,164561,tower hamlets collision
2017-02-11T01:00Z,69,11,153015,lambeth collision
2017-02-12T01:00Z,59,4,62304,haringey collision
2017-02-13T01:00Z,61,8,196603,bromley collision
2017-02-14T01:00Z,92,8,477641,haringey collision
2017-02-15T01:00Z,68,14,754998,islington collision
2017-02-16T01:00Z,74,9,70993,barking and dagenham collision
2017-02-17T01:00Z,94,8,217194,havering collision
2017-02-18T01:00Z,86,6,278357,greenwich collision
2017-02-19T01:00Z,48,8,504811,croydon collision
2017-02-20T01:00Z,74,7,381298,southwark collision
2017-02-21T01:00Z,65,7,152297,bromley collision
2017-02-22T01:00Z,73,13,306551,ealing collision
2017-02-23T01:00Z,95,5,414794,lewisham collision
2017-02-24T01:00Z,91,10,620041,lambeth collision
2017-02-25T01:00Z,58,4,253072,hackney collision
2017-02-26T01:00Z,79,15,719829,enfield collision
2017-02-27T01:00Z,95,11,1355369,barnet collision
2017-02-28T01:00Z,95,11,387164,bromley collision
2017-03-01T01:00Z,82,11,172288,southwark collision
2017-03-02T01:00Z,87,7,1368242,hillingdon collision
2017-03-03T01:00Z,84,15,237404,bromley collision
2017-03-04T01:00Z,64,12,252418,croydon collision
2017-03-05T01:00Z,60,7,364879,barnet collision
2017-03-06T01:00Z,61,7,962612,lambeth collision
