date,slight,serious,Barking and Dagenham collision,Barnet collision,Bexley collision,Brent collision,Bromley collision,Camden collision,City of London collision,Croydon collision,Ealing collision,Enfield collision,Greenwich collision,Hackney collision,Hammersmith and Fulham collision,Haringey collision,Harrow collision,Havering collision,Hillingdon collision,Hounslow collision,Islington collision,Kensington an Chelsea collision,Kingston upon thames collision,Lambeth collision,Lewisham collision,Merton collision,Newham collision,Redbridge collision,Richmond upon thames collision,Southwark collision,Sutton collision,Tower Hamlets collision,Waltham Forest collision,Wandsworth collision,Westminster collision
01/01/2017,57,9,3,3,1,3,3,2,1,0,2,1,2,2,3,6,1,2,4,0,5,0,0,3,0,1,0,1,2,5,4,1,1,1,3
02/01/2017,59,5,0,2,0,1,3,0,0,4,2,1,5,3,0,2,1,2,2,9,1,0,2,3,2,1,4,2,0,0,1,1,0,3,7
03/01/2017,67,10,4,6,2,3,5,1,2,8,3,2,0,2,0,3,0,5,3,5,1,1,2,3,0,0,1,4,0,6,0,2,1,0,2
04/01/2017,69,5,2,3,7,1,1,1,0,1,0,4,1,5,0,4,1,0,7,0,4,0,1,3,3,4,0,2,2,4,2,3,1,3,4
05/01/2017,108,8,4,1,2,4,2,1,0,9,2,5,3,3,3,12,4,6,4,6,3,4,4,1,2,5,7,0,3,2,1,3,3,1,6
06/01/2017,73,10,3,4,2,4,4,1,0,3,4,3,4,1,4,7,2,2,1,2,2,4,2,3,1,3,4,3,0,4,0,1,2,1,2
07/01/2017,60,8,1,4,0,1,1,0,0,3,3,3,2,1,2,3,1,1,6,14,0,0,0,1,1,0,6,5,1,2,0,2,1,0,3
08/01/2017,65,3,0,2,4,3,0,1,0,6,2,6,0,8,1,0,1,0,5,2,1,1,0,4,3,1,0,0,1,3,1,4,3,3,2
09/01/2017,95,14,2,5,0,4,7,7,3,3,8,2,4,5,0,7,1,1,2,1,0,2,2,8,1,3,0,3,2,3,2,2,3,3,13
10/01/2017,86,10,1,1,0,5,2,5,2,3,2,7,0,0,1,1,3,2,4,2,7,2,0,4,7,3,2,1,2,6,0,7,5,4,5
11/01/2017,79,10,3,1,1,4,0,1,1,2,3,2,3,4,2,2,1,1,7,6,5,2,2,8,2,1,0,3,3,5,1,6,0,3,4
12/01/2017,106,8,3,4,3,1,8,7,0,6,8,2,1,4,9,5,0,1,2,1,3,2,1,5,7,2,1,0,1,4,5,2,4,2,10
13/01/2017,86,13,5,3,4,8,3,2,1,5,4,1,4,0,3,0,1,4,2,4,6,8,1,2,0,1,4,2,0,2,1,7,3,1,7
14/01/2017,69,10,2,4,2,1,1,2,1,4,2,1,0,2,5,2,2,11,2,0,0,6,3,4,1,2,2,0,0,1,0,7,1,6,2
15/01/2017,42,4,1,1,0,0,2,1,0,3,1,1,0,6,3,1,1,0,2,0,0,2,0,2,3,0,3,1,0,2,0,1,2,1,6
16/01/2017,75,5,4,2,0,2,4,4,0,0,0,5,4,3,1,6,0,2,5,2,0,2,0,5,5,0,6,1,0,5,0,3,1,4,4
17/01/2017,84,8,3,6,0,2,5,2,1,6,0,3,2,1,2,4,0,4,7,2,1,0,1,3,3,0,2,6,0,5,5,1,10,0,5
18/01/2017,79,16,0,1,0,2,3,4,0,5,4,4,3,1,1,6,1,4,2,3,3,3,2,4,2,2,0,3,2,9,0,4,1,7,9
19/01/2017,67,5,2,3,2,5,2,3,0,1,6,3,0,4,3,3,3,1,2,0,2,1,2,3,3,0,2,0,2,4,0,3,4,2,1
20/01/2017,108,9,5,5,1,1,1,4,0,5,2,5,3,6,4,7,1,3,1,1,3,3,1,3,2,6,6,5,4,10,5,2,4,2,6
21/01/2017,105,9,3,2,3,2,1,3,0,5,3,7,9,5,1,3,2,4,5,5,2,5,4,7,0,4,7,0,0,2,0,2,4,5,9
22/01/2017,92,11,2,3,1,1,3,4,0,1,2,8,3,4,1,4,1,2,4,0,2,2,3,6,0,2,3,14,2,2,0,4,4,9,6
23/01/2017,64,8,1,4,4,3,0,1,1,3,0,2,2,0,4,1,2,3,3,0,0,3,2,5,4,2,5,0,2,3,1,3,0,3,5
24/01/2017,94,9,0,1,1,5,1,0,6,8,7,4,3,2,3,2,1,3,5,3,3,3,1,5,4,5,2,7,3,1,3,2,1,3,5
25/01/2017,78,7,0,4,0,9,2,0,0,3,2,1,1,6,2,1,2,1,8,2,5,5,1,3,2,0,9,2,0,4,0,4,0,0,6
26/01/2017,61,13,0,0,1,6,3,2,1,4,3,2,3,2,2,3,1,1,2,7,2,3,1,1,2,2,4,1,0,1,3,0,4,3,4
27/01/2017,79,9,2,0,1,6,2,4,1,1,3,5,2,3,3,3,2,1,0,3,0,3,1,10,4,3,6,3,2,1,0,2,3,2,6
28/01/2017,101,12,2,3,3,7,3,6,0,5,5,5,3,4,2,2,0,3,5,6,5,5,1,5,1,0,3,5,2,3,4,2,1,8,4
29/01/2017,70,9,2,5,0,4,3,2,0,1,0,3,0,1,1,2,1,5,0,1,1,2,1,2,6,3,4,9,0,1,4,1,4,1,9
30/01/2017,55,12,1,2,3,2,3,5,0,5,3,3,1,1,4,7,1,1,1,1,1,2,1,3,1,1,2,3,1,1,0,1,1,2,3
31/01/2017,75,8,1,3,0,4,6,3,1,1,2,1,1,3,6,5,1,2,1,3,2,4,1,6,3,0,1,1,1,3,2,3,3,3,6
01/02/2017,52,7,1,0,3,0,3,0,0,1,0,3,2,1,1,2,0,0,2,3,0,6,3,5,0,3,2,4,2,4,0,3,0,1,4
02/02/2017,81,4,4,0,0,8,3,1,2,2,6,2,3,3,6,5,1,1,4,0,0,1,0,3,3,4,1,3,0,1,1,3,4,6,4
03/02/2017,92,7,4,2,3,2,4,5,1,3,5,4,9,7,1,4,3,4,3,2,3,2,0,3,4,0,2,2,4,0,2,4,2,1,4
04/02/2017,76,7,3,5,0,3,2,0,0,8,2,2,4,3,1,14,1,1,5,1,0,0,0,4,2,3,2,6,0,1,1,4,2,0,3
05/02/2017,70,9,0,7,1,2,7,6,0,3,5,2,0,2,5,1,2,0,7,12,0,1,0,3,2,1,0,2,1,3,0,1,2,0,1
06/02/2017,76,7,1,5,1,4,1,2,0,5,1,3,5,4,0,0,0,2,4,0,4,1,0,1,4,2,6,8,0,4,2,6,1,2,4
07/02/2017,77,13,3,6,1,0,7,4,0,1,4,1,4,0,4,5,3,2,1,5,1,2,3,7,2,2,5,2,1,5,0,4,1,2,2
08/02/2017,69,9,0,3,1,1,4,2,3,1,3,1,2,5,3,1,1,0,2,5,5,1,2,5,2,2,1,4,0,3,1,7,2,0,5
09/02/2017,66,9,0,1,0,2,3,3,0,3,7,2,0,1,3,1,0,0,3,1,5,1,2,10,1,3,3,2,0,6,2,3,1,1,5
10/02/2017,99,8,1,5,2,4,2,2,1,4,4,4,1,4,1,5,3,4,2,4,3,1,2,4,1,2,5,7,2,2,4,9,1,2,9
11/02/2017,69,11,0,3,6,4,2,2,0,0,6,2,5,2,1,0,4,0,0,2,2,1,0,11,4,0,2,4,0,3,0,6,1,1,6
12/02/2017,59,4,0,3,1,2,3,1,2,1,2,0,1,2,0,8,0,4,0,1,2,3,1,3,2,0,1,2,0,4,2,4,2,2,4
13/02/2017,61,8,2,2,1,3,5,5,0,3,0,4,1,3,1,3,1,0,5,1,3,1,0,2,1,0,5,2,2,2,0,4,2,2,3
14/02/2017,92,8,0,3,2,2,4,8,0,0,5,7,1,4,3,10,0,4,2,9,4,1,1,1,2,2,4,4,0,0,1,6,0,4,6
15/02/2017,68,14,4,3,4,3,2,3,2,4,2,2,0,5,1,0,3,2,1,1,7,4,1,3,0,4,3,0,2,1,1,2,2,4,6
16/02/2017,74,9,6,2,1,3,3,3,1,3,2,6,6,1,2,2,0,3,2,5,2,0,0,3,1,0,3,1,1,3,2,4,6,2,4
17/02/2017,94,8,0,5,1,3,4,2,2,4,1,7,0,3,1,1,1,15,1,2,4,2,0,11,2,1,2,8,1,5,2,6,0,1,4
18/02/2017,86,6,3,2,3,6,5,4,0,1,1,1,9,1,0,6,0,3,1,3,4,5,0,6,1,4,4,1,4,7,2,1,0,2,2
19/02/2017,48,8,0,2,0,2,1,3,0,11,2,1,1,3,2,2,0,1,1,0,0,1,0,1,0,2,1,8,0,2,0,2,3,0,4
20/02/2017,74,7,1,3,0,2,2,4,1,3,5,1,1,1,1,1,1,2,2,2,3,2,4,3,2,5,2,3,4,6,2,2,3,1,6
21/02/2017,65,7,1,2,0,1,7,3,1,3,0,2,4,4,2,0,3,1,1,3,5,4,0,4,1,1,2,3,1,2,1,0,1,2,7
22/02/2017,73,13,1,2,1,2,3,2,0,4,9,1,0,3,2,1,1,0,6,5,2,0,1,4,5,2,2,9,0,3,1,1,0,7,6
23/02/2017,95,5,3,3,0,1,3,6,1,0,0,7,1,3,4,3,1,5,2,2,6,3,1,4,8,4,3,6,2,3,1,2,4,2,6
24/02/2017,91,10,9,1,2,3,5,3,0,1,4,2,3,2,1,6,1,1,2,3,5,7,1,10,6,2,0,2,1,1,1,6,3,2,5
25/02/2017,58,4,0,1,1,3,1,3,0,2,6,4,0,7,5,3,2,0,0,0,1,0,0,1,1,5,4,2,0,0,1,5,2,2,0
26/02/2017,79,15,2,6,0,1,5,4,0,3,4,9,0,8,1,2,6,3,3,0,0,2,2,4,7,1,4,1,1,6,1,0,2,2,4
27/02/2017,95,11,0,8,3,0,5,8,0,5,7,4,4,1,0,4,1,1,3,7,4,4,1,3,6,1,4,3,2,5,0,2,3,3,4
28/02/2017,95,11,7,4,0,1,9,2,0,3,3,1,3,4,3,2,0,6,4,2,1,1,1,6,8,2,6,3,0,6,3,2,1,6,6
01/03/2017,82,11,0,2,1,3,5,3,2,2,6,4,1,0,1,3,4,6,2,3,4,4,1,3,3,3,2,0,2,7,0,4,2,3,7
