date,slight,serious,total_vehicle_num
2017-03-13,288,48,388732.0
2017-03-17,528,0,29216.0
2017-03-20,648,48,660484.0
2017-03-21,168,0,282506.0
2017-03-22,312,72,255664.0
2017-03-23,144,48,180238.0
2017-03-24,312,72,68397.0
2017-03-27,264,72,108690.0
2017-03-28,144,48,195538.0
2017-03-29,312,48,129410.0
2017-03-30,192,24,88390.0
2017-03-31,312,24,105500.0
2017-04-18,168,48,11412.0
2017-04-19,336,72,672741.0
2017-04-20,336,0,165402.0
2017-04-21,240,48,170389.0
2017-04-24,420,108,465984.0
2017-04-25,144,0,63786.0
2017-04-26,480,96,411344.0
2017-04-27,360,120,603319.0
2017-04-28,324,60,781060.0
2017-05-02,72,24,33523.0
2017-05-03,216,0,24995.0
2017-05-04,336,48,311284.0
2017-05-05,264,48,209216.0
2017-05-08,312,0,147521.0
2017-05-09,504,24,198456.0
2017-05-10,384,24,199505.0
2017-05-11,216,24,828587.0
2017-05-12,336,48,229489.0
2017-05-15,264,72,237403.0
2017-05-16,432,24,34154.0
2017-05-17,504,0,391988.0
2017-05-18,528,72,353602.0
2017-05-19,432,48,422714.0
2017-05-22,240,24,25609.0
2017-05-23,120,24,63334.0
2017-05-24,240,24,326330.0
2017-05-25,528,0,243069.0
2017-05-26,648,72,869364.0
2017-06-05,192,24,164561.0
2017-06-06,288,0,153015.0
2017-06-07,120,48,62304.0
2017-06-08,216,24,196603.0
2017-06-09,408,24,477641.0
2017-06-12,648,72,754998.0
2017-06-13,144,24,70993.0
2017-06-14,360,48,217194.0
2017-06-15,480,120,278357.0
2017-06-16,456,72,504811.0
2017-06-19,600,144,381298.0
2017-06-20,480,24,152297.0
2017-06-21,564,156,306551.0
2017-06-22,648,48,414794.0
2017-06-23,720,96,620041.0
2017-06-26,432,48,253072.0
2017-06-27,624,24,719829.0
2017-06-28,408,48,1355369.0
2017-06-29,624,72,387164.0
2017-06-30,384,144,172288.0
2017-07-03,744,72,1368242.0
2017-07-04,312,48,237404.0
2017-07-05,636,60,252418.0
2017-07-06,528,72,364879.0
2017-07-07,888,144,962612.0
2017-07-10,552,120,387597.0
2017-07-11,672,96,1058476.0
2017-07-12,264,24,452822.0
2017-07-13,264,72,28789.0
2017-07-14,216,48,106090.0
2017-09-06,576,144,720061.0
2017-09-07,192,48,246078.0
2017-09-08,576,48,399094.0
2017-09-11,216,24,196710.0
2017-09-12,240,24,220637.0
2017-09-13,504,72,239155.0
2017-09-14,264,0,38280.0
2017-09-15,264,84,184149.0
2017-09-18,240,0,77063.0
2017-09-19,192,48,104034.0
2017-09-20,312,24,292521.0
2017-09-21,312,24,76725.0
2017-09-22,528,48,294835.0
2017-09-25,624,96,885381.0
2017-09-26,336,72,347575.0
2017-09-27,168,0,122862.0
2017-09-28,936,72,1329145.0
2017-09-29,480,0,60146.0
2017-10-02,456,72,919812.0
2017-10-03,144,72,52538.0
2017-10-04,480,24,91671.0
2017-10-05,432,24,132639.0
2017-10-06,504,48,102594.0
2017-10-09,192,24,194820.0
2017-10-10,336,72,71478.0
2017-10-11,408,48,99925.0
2017-10-12,300,216,98408.0
2017-10-13,264,0,42395.0
2017-10-16,408,72,91199.0
2017-10-17,744,120,321842.0
2017-10-18,336,48,103628.0
2017-10-19,624,120,485721.0
2017-10-20,528,48,283779.0
2017-10-30,192,48,174110.0
2017-10-31,312,24,35829.0
2017-11-01,144,0,467626.0
2017-11-02,96,48,330954.0
2018-03-16,624,192,558303.0
2018-03-19,120,0,26294.0
2018-03-21,336,24,72383.0
2018-03-22,24,0,4324.0
2018-03-23,336,48,13945.0
2018-04-16,1008,0,962759.0
2018-04-17,216,72,74623.0
2018-04-18,564,192,234798.0
2018-04-19,432,72,119791.0
2018-04-20,420,24,269390.0
2018-04-23,408,120,257647.0
2018-04-24,408,0,156886.0
2018-04-25,480,168,193328.0
2018-04-26,240,144,96508.0
2018-04-27,456,96,235997.0
2018-04-30,408,0,183789.0
2018-05-01,144,24,22671.0
2018-05-02,624,24,70366.0
2018-05-03,480,168,148540.0
2018-05-04,192,0,136310.0
2018-05-08,720,120,377004.0
2018-05-09,816,144,373597.0
2018-05-10,408,96,204257.0
2018-05-11,456,72,374242.0
2018-05-14,600,120,312658.0
2018-05-15,888,240,326987.0
2018-05-16,432,120,72616.0
2018-05-17,864,72,696381.0
2018-05-18,648,168,150569.0
2018-05-21,864,168,375671.0
2018-05-22,840,120,492802.0
2018-05-23,552,72,359764.0
2018-05-24,384,120,220652.0
2018-05-25,888,120,728127.0
2018-06-04,480,24,150249.0
2018-06-05,648,144,672645.0
2018-06-06,792,72,291995.0
2018-06-07,648,24,218207.0
2018-06-08,576,36,517246.0
2018-06-11,1104,144,379063.0
2018-06-12,336,48,272916.0
