date,slight,serious,total_casualties
2017-01-01,57,9,66
2017-01-02,59,5,64
2017-01-03,67,10,77
2017-01-04,69,5,74
2017-01-05,108,8,116
2017-01-06,73,10,83
2017-01-07,60,8,68
2017-01-08,65,3,68
2017-01-09,95,14,109
2017-01-10,86,10,96
2017-01-11,79,10,89
2017-01-12,106,8,114
2017-01-13,86,13,99
2017-01-14,69,10,79
2017-01-15,42,4,46
2017-01-16,75,5,80
2017-01-17,84,8,92
2017-01-18,79,16,95
2017-01-19,67,5,72
2017-01-20,108,9,117
2017-01-21,105,9,114
2017-01-22,92,11,103
2017-01-23,64,8,72
2017-01-24,94,9,103
2017-01-25,78,7,85
2017-01-26,61,13,74
2017-01-27,79,9,88
2017-01-28,101,12,113
2017-01-29,70,9,79
2017-01-30,55,12,67
2017-01-31,75,8,83
2017-02-01,52,7,59
2017-02-02,81,4,85
2017-02-03,92,7,99
2017-02-04,76,7,83
2017-02-05,70,9,79
2017-02-06,76,7,83
2017-02-07,77,13,90
2017-02-08,69,9,78
2017-02-09,66,9,75
2017-02-10,99,8,107
2017-02-11,69,11,80
2017-02-12,59,4,63
2017-02-13,61,8,69
2017-02-14,92,8,100
2017-02-15,68,14,82
2017-02-16,74,9,83
2017-02-17,94,8,102
2017-02-18,86,6,92
2017-02-19,48,8,56
2017-02-20,74,7,81
2017-02-21,65,7,72
2017-02-22,73,13,86
2017-02-23,95,5,100
2017-02-24,91,10,101
2017-02-25,58,4,62
2017-02-26,79,15,94
2017-02-27,95,11,106
2017-02-28,95,11,106
2017-03-01,82,11,93
2017-03-02,87,7,94
2017-03-03,84,15,99
2017-03-04,64,12,76
2017-03-05,60,7,67
2017-03-06,61,7,68
2017-03-07,66,10,76
2017-03-08,75,8,83
2017-03-09,59,15,74
2017-03-10,86,8,94
2017-03-11,62,10,72
2017-03-12,49,6,55
2017-03-13,87,17,104
2017-03-14,67,14,81
2017-03-15,93,14,107
2017-03-16,68,6,74
2017-03-17,91,17,108
2017-03-18,72,14,86
2017-03-19,43,7,50
2017-03-20,70,6,76
2017-03-21,79,12,91
2017-03-22,76,20,96
2017-03-23,78,11,89
2017-03-24,86,9,95
2017-03-25,80,20,100
2017-03-26,57,9,66
2017-03-27,82,12,94
2017-03-28,91,9,100
2017-03-29,70,14,84
2017-03-30,89,9,98
2017-03-31,94,4,98
2017-04-01,90,10,100
2017-04-02,93,7,100
2017-04-03,69,8,77
2017-04-04,62,11,73
2017-04-05,80,6,86
2017-04-06,73,11,84
2017-04-07,77,9,86
2017-04-08,107,11,118
2017-04-09,125,9,134
2017-04-10,61,3,64
2017-04-11,69,12,81
2017-04-12,66,10,76
2017-04-13,79,19,98
2017-04-14,73,4,77
2017-04-15,56,8,64
2017-04-16,70,3,73
2017-04-17,51,5,56
2017-04-18,97,12,109
2017-04-19,81,13,94
2017-04-20,86,10,96
2017-04-21,94,10,104
2017-04-22,80,15,95
2017-04-23,60,8,68
2017-04-24,100,15,115
2017-04-25,97,15,112
2017-04-26,93,14,107
2017-04-27,66,9,75
2017-04-28,98,8,106
2017-04-29,81,8,89
2017-04-30,82,12,94
2017-05-01,61,12,73
2017-05-02,76,8,84
2017-05-03,83,7,90
2017-05-04,73,7,80
2017-05-05,63,16,79
2017-05-06,64,12,76
2017-05-07,61,8,69
2017-05-08,89,9,98
2017-05-09,91,13,104
2017-05-10,79,8,87
2017-05-11,83,13,96
2017-05-12,90,18,108
2017-05-13,82,8,90
2017-05-14,53,7,60
2017-05-15,78,6,84
2017-05-16,101,10,111
2017-05-17,80,5,85
2017-05-18,87,11,98
2017-05-19,88,14,102
2017-05-20,66,11,77
2017-05-21,58,14,72
2017-05-22,77,9,86
2017-05-23,76,12,88
2017-05-24,86,14,100
2017-05-25,108,13,121
2017-05-26,99,19,118
2017-05-27,71,8,79
2017-05-28,65,9,74
2017-05-29,41,6,47
2017-05-30,71,14,85
2017-05-31,58,6,64
2017-06-01,82,13,95
2017-06-02,83,6,89
2017-06-03,74,7,81
2017-06-04,65,11,76
2017-06-05,70,6,76
2017-06-06,88,10,98
2017-06-07,83,19,102
2017-06-08,83,9,92
2017-06-09,78,13,91
2017-06-10,70,15,85
2017-06-11,48,6,54
2017-06-12,90,9,99
2017-06-13,80,8,88
2017-06-14,90,9,99
2017-06-15,83,17,100
2017-06-16,96,8,104
2017-06-17,92,13,105
2017-06-18,70,10,80
2017-06-19,91,16,107
2017-06-20,114,15,129
2017-06-21,89,19,108
2017-06-22,78,10,88
2017-06-23,98,11,109
2017-06-24,70,13,83
2017-06-25,79,21,100
2017-06-26,108,14,122
2017-06-27,91,8,99
2017-06-28,77,11,88
2017-06-29,83,11,94
2017-06-30,92,21,113
2017-07-01,70,13,83
2017-07-02,105,16,121
2017-07-03,91,16,107
2017-07-04,99,13,112
2017-07-05,117,17,134
2017-07-06,107,14,121
2017-07-07,131,14,145
2017-07-08,78,7,85
2017-07-09,79,7,86
2017-07-10,73,16,89
2017-07-11,104,9,113
2017-07-12,92,19,111
2017-07-13,89,12,101
2017-07-14,89,12,101
2017-07-15,96,16,112
2017-07-16,69,6,75
2017-07-17,88,12,100
2017-07-18,90,8,98
2017-07-19,70,11,81
2017-07-20,64,10,74
2017-07-21,100,14,114
2017-07-22,96,18,114
2017-07-23,60,11,71
2017-07-24,65,6,71
2017-07-25,83,4,87
2017-07-26,70,8,78
2017-07-27,70,10,80
2017-07-28,66,8,74
2017-07-29,98,12,110
