date,slight,serious
2017-03-13,288,48
2017-03-17,528,0
2017-03-20,648,48
2017-03-21,168,0
2017-03-22,312,72
2017-03-23,144,48
2017-03-24,312,72
2017-03-27,264,72
2017-03-28,144,48
2017-03-29,312,48
2017-03-30,192,24
2017-03-31,312,24
2017-04-18,168,48
2017-04-19,336,72
2017-04-20,336,0
2017-04-21,240,48
2017-04-24,420,108
2017-04-25,144,0
2017-04-26,480,96
2017-04-27,360,120
2017-04-28,324,60
2017-05-02,72,24
2017-05-03,216,0
2017-05-04,336,48
2017-05-05,264,48
2017-05-08,312,0
2017-05-09,504,24
2017-05-10,384,24
2017-05-11,216,24
2017-05-12,336,48
2017-05-15,264,72
2017-05-16,432,24
2017-05-17,504,0
2017-05-18,528,72
2017-05-19,432,48
2017-05-22,240,24
2017-05-23,120,24
2017-05-24,240,24
2017-05-25,528,0
2017-05-26,648,72
2017-06-05,192,24
2017-06-06,288,0
2017-06-07,120,48
2017-06-08,216,24
2017-06-09,408,24
2017-06-12,648,72
2017-06-13,144,24
2017-06-14,360,48
2017-06-15,480,120
2017-06-16,456,72
2017-06-19,600,144
2017-06-20,480,24
2017-06-21,564,156
2017-06-22,648,48
2017-06-23,720,96
2017-06-26,432,48
2017-06-27,624,24
2017-06-28,408,48
2017-06-29,624,72
2017-06-30,384,144
2017-07-03,744,72
2017-07-04,312,48
2017-07-05,636,60
2017-07-06,528,72
2017-07-07,888,144
2017-07-10,552,120
2017-07-11,672,96
2017-07-12,264,24
2017-07-13,264,72
2017-07-14,216,48
2017-09-06,576,144
2017-09-07,192,48
2017-09-08,576,48
2017-09-11,216,24
2017-09-12,240,24
2017-09-13,504,72
2017-09-14,264,0
2017-09-15,264,84
2017-09-18,240,0
2017-09-19,192,48
2017-09-20,312,24
2017-09-21,312,24
2017-09-22,528,48
2017-09-25,624,96
2017-09-26,336,72
2017-09-27,168,0
2017-09-28,936,72
2017-09-29,480,0
2017-10-02,456,72
2017-10-03,144,72
2017-10-04,480,24
2017-10-05,432,24
2017-10-06,504,48
2017-10-09,192,24
2017-10-10,336,72
2017-10-11,408,48
2017-10-12,300,216
2017-10-13,264,0
2017-10-16,408,72
2017-10-17,744,120
2017-10-18,336,48
2017-10-19,624,120
2017-10-20,528,48
2017-10-30,192,48
2017-10-31,312,24
2017-11-01,144,0
2017-11-02,96,48
2018-03-16,624,192
2018-03-19,120,0
2018-03-21,336,24
2018-03-22,24,0
