date,slight,serious,barking and dagenham collision,barnet collision,bexley collision,brent collision,bromley collision,camden collision,city of london collision,croydon collision,ealing collision,enfield collision,greenwich collision,hackney collision,hammersmith and fulham collision,haringey collision,harrow collision,havering collision,hillingdon collision,hounslow collision,islington collision,kensington an chelsea collision,kingston upon thames collision,lambeth collision,lewisham collision,merton collision,newham collision,redbridge collision,richmond upon thames collision,southwark collision,sutton collision,tower hamlets collision,waltham forest collision,wandsworth collision,westminster collision,all counted vehicles,barking and dagenham,barnet,bexley,brent,bromley,camden,city of london,croydon,ealing,enfield,greenwich,hackney,hammersmith and fulham,haringey,harrow,havering,hillingdon,hounslow,islington,kensington and chelsea,kingston upon thames,lambeth,lewisham,merton,newham,redbridge,richmond upon thames,southwark,sutton,tower hamlets,waltham forest,wandsworth,westminster
13/03/2017,87,17,7,11,4,4,4,4,0,3,3,2,4,3,4,3,3,2,0,3,1,5,1,1,5,1,2,2,5,4,1,2,1,2,7,128906,0,0,0,0,11931,0,0,0,0,0,63178,0,0,0,1169,0,0,0,0,0,0,20467,0,0,0,0,0,0,0,32161,0,0,0
17/03/2017,91,17,1,6,2,2,6,8,0,9,2,2,0,3,1,5,0,4,2,3,5,5,0,6,1,0,1,3,2,8,3,5,3,9,1,11346,0,0,0,0,0,0,0,932,9968,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/03/2017,70,6,0,2,2,1,4,3,0,3,2,4,1,1,4,2,2,0,0,6,6,0,5,4,1,0,4,0,0,1,0,3,6,3,6,168977,0,0,22845,0,0,0,0,0,0,10236,22973,0,0,1083,0,0,0,0,0,0,33298,0,0,0,0,0,0,0,0,29677,17136,0,31729
21/03/2017,79,12,1,6,1,1,4,7,1,5,0,5,0,1,0,4,6,1,1,2,3,2,0,6,8,0,3,2,1,5,1,2,1,2,9,101804,0,42451,0,0,0,0,0,0,31553,0,0,0,0,0,0,27800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2017,76,20,1,4,0,1,3,3,1,3,0,4,2,1,3,7,0,1,3,2,6,3,0,6,5,3,1,1,0,8,1,4,6,8,5,93284,0,28320,0,0,0,21616,0,0,0,0,0,30284,9034,0,0,0,0,0,0,0,0,0,4030,0,0,0,0,0,0,0,0,0,0
23/03/2017,78,11,4,7,2,2,2,6,0,2,1,4,1,4,3,3,0,5,5,2,2,1,1,8,2,0,3,5,0,3,0,1,0,3,7,62692,0,0,0,0,0,15573,0,0,0,0,0,0,0,0,0,0,0,43400,0,0,0,0,0,0,0,0,0,0,3719,0,0,0,0
24/03/2017,86,9,4,4,3,6,2,5,0,2,3,2,1,5,2,5,4,2,2,1,3,2,1,5,1,2,2,1,2,6,2,3,2,4,6,33392,0,0,0,0,0,0,0,1610,0,0,277,0,0,0,0,0,367,0,0,0,0,630,0,0,19435,0,11073,0,0,0,0,0,0
27/03/2017,82,12,3,5,4,1,4,2,0,3,2,4,3,3,5,2,0,1,9,4,4,1,2,3,1,3,3,6,2,3,1,5,2,0,3,54902,0,0,0,18179,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,15819,0,0,0,18325,0,0,0,0,0,0,0,0,0,1406
28/03/2017,91,9,2,2,2,1,6,0,6,6,3,4,4,2,3,4,0,5,3,1,6,5,2,4,4,1,1,1,2,4,1,0,8,3,4,83830,0,48699,21192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13939
29/03/2017,70,14,1,2,1,4,3,3,1,2,3,6,4,1,2,6,1,3,0,3,2,3,0,3,3,2,1,4,0,3,1,2,6,3,5,45817,0,0,0,0,0,0,0,0,0,0,0,504,687,0,0,0,0,0,0,0,0,0,7487,16057,0,0,0,0,10707,0,10375,0,0
30/03/2017,89,9,4,3,2,5,5,3,0,4,5,5,2,6,4,1,1,6,4,1,6,2,0,2,2,1,4,0,2,6,1,4,3,2,2,95828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9263,0,26276,0,0,0,0,35612,8135,0,16542,0,0,0,0
31/03/2017,94,4,1,0,0,7,0,4,0,5,5,0,4,5,2,11,1,3,2,0,2,0,3,6,3,2,5,0,0,3,3,5,2,4,10,15929,0,0,0,13985,0,0,0,0,1239,0,0,0,0,0,0,0,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/04/2017,97,12,4,4,1,8,2,2,1,1,7,6,5,2,4,2,0,0,9,5,5,2,2,3,5,0,3,3,2,5,0,2,0,7,7,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/04/2017,81,13,2,3,1,6,3,1,2,0,5,4,6,3,1,4,1,3,0,3,3,1,0,7,1,2,3,1,1,4,2,5,1,4,11,139701,0,0,0,0,0,0,0,0,122322,0,0,8385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8994,0,0,0,0,0
20/04/2017,86,10,3,4,2,4,2,6,3,6,9,3,3,4,5,6,2,0,0,2,3,2,2,2,0,3,2,1,1,5,0,3,0,3,5,75807,0,0,0,0,0,0,0,0,0,2954,0,0,0,0,0,0,0,13774,0,0,21806,0,20197,0,0,0,0,17076,0,0,0,0,0
21/04/2017,94,10,3,3,4,1,2,3,0,6,3,6,1,2,1,5,1,3,1,0,4,2,0,10,10,2,5,1,1,8,0,6,1,0,9,111511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51394,0,45058,0,0,0,0,0,0,287,0,0,0,0,0,14772,0,0
24/04/2017,100,15,6,6,3,2,0,1,0,7,7,5,2,4,5,6,3,3,2,2,4,1,2,9,2,7,2,3,0,5,3,2,2,4,5,156105,0,0,0,0,0,0,0,0,13643,0,0,0,0,0,0,0,20756,43762,4801,0,0,0,14314,0,0,41701,0,0,0,0,0,17128,0
25/04/2017,97,15,2,3,0,3,0,2,1,4,6,7,8,1,4,3,1,2,8,1,5,1,0,4,6,0,12,8,1,1,2,1,4,5,6,10631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10631
26/04/2017,93,14,3,3,0,2,2,1,0,4,3,4,2,7,5,3,2,0,5,5,4,2,2,5,3,1,5,2,4,3,2,3,4,11,5,101174,0,0,0,0,0,0,0,1889,24441,39221,0,0,0,0,0,0,0,20640,0,0,0,0,0,0,0,0,0,0,0,2267,0,0,12716
27/04/2017,66,9,0,6,2,1,1,4,0,3,6,2,8,3,2,1,1,1,1,3,2,5,0,3,2,2,1,0,0,2,2,2,1,2,6,271287,93085,0,0,0,0,0,0,0,0,12590,0,31625,0,0,0,0,0,89364,0,0,0,0,0,0,0,0,8761,0,0,0,0,0,35862
28/04/2017,98,8,3,4,1,1,2,7,0,3,3,2,2,4,1,6,0,8,1,7,1,1,2,6,2,6,6,4,1,1,3,3,4,3,8,263688,0,0,0,0,0,0,0,0,0,127217,0,0,0,0,0,0,45370,0,0,0,26063,0,0,0,0,34136,0,0,0,0,0,0,30902
02/05/2017,76,8,3,9,0,4,1,2,1,3,1,0,4,3,1,3,0,1,1,5,3,1,1,3,2,0,8,1,2,1,2,4,4,5,5,23157,0,0,0,0,5578,0,0,0,7213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10366,0,0,0,0,0,0
03/05/2017,83,7,2,1,3,1,6,3,1,1,5,0,1,4,4,2,1,3,1,6,4,6,1,3,7,0,1,3,0,4,1,2,4,3,6,11844,0,0,0,0,0,0,0,0,0,0,0,4213,0,0,4387,0,2988,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0
